 2016-03-26 16:53:30 | [0 0 516.6085 499.81012 0.7105303 0 0 37.59909 0.2286893 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:31 | [0 0 516.6085 499.67484 0.7097312 0 0 38.214417 0.010899661 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:32 | [0 0 516.6085 499.53958 0.70949996 0 0 37.261475 -0.36001402 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:33 | [0 0 516.6085 499.4133 0.7111721 0 0 38.15796 0.042761356 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:34 | [0 0 516.6085 499.28705 0.712878 0 0 37.11032 0.001075999 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:35 | [0 0 516.6085 499.1608 0.71282643 0 0 37.29947 -0.021866055 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:36 | [0 0 516.6085 499.05255 0.712588 0 0 37.78076 0.27689904 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:37 | [0 0 516.6085 499.0255 0.7071784 0 0 37.527374 0.3453798 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:38 | [0 0 516.6085 499.0255 0.6875741 0 0 37.587006 0.14302869 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:39 | [0 0 516.6085 499.0255 0.6580163 0 0 37.554382 0.04648707 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:40 | [0 0 516.6085 499.0255 0.6284729 0 0 37.528107 0.017954616 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:41 | [0 0 516.6085 499.0255 0.60736287 0 0 37.618042 0.008156364 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:42 | [0 0 516.6085 499.0255 0.5944698 0 0 37.59915 0.006946402 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:43 | [0 0 516.6085 499.0255 0.5841445 0 0 37.579407 0.006859966 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:44 | [0 0 516.6085 499.0255 0.578791 0 0 37.592316 0.006855108 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:45 | [0 0 516.6085 499.0255 0.57743543 0 0 37.621857 0.006854869 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:46 | [0 0 516.6085 499.0255 0.5742397 0 0 37.57724 0.006854859 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:47 | [0 0 516.6085 499.0255 0.57331276 0 0 37.573914 0.006854858 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:48 | [0 0 516.6085 499.0255 0.5700114 0 0 37.616394 0.006854858 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:49 | [0 0 516.6085 499.0255 0.56683725 0 0 37.621765 0.006854858 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:50 | [0 0 516.6085 499.0255 0.57019794 0 0 37.603424 0.006854858 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:51 | [0 0 516.6085 499.0255 0.57403725 0 0 37.636078 0.006854858 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:52 | [0 0 516.6085 499.0255 0.570442 0 0 37.621124 0.006854858 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:53 | [0 0 516.6085 499.0255 0.5635181 0 0 37.618866 0.006854858 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:54 | [0 0 516.6085 499.0255 0.5618963 0 0 37.61914 0.006854858 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:55 | [0 0 516.6085 499.0255 0.566499 0 0 37.630524 0.006854858 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:56 | [0 0 516.6085 499.0255 0.57004905 0 0 37.622467 0.006854858 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:57 | [0 0 516.6085 499.0255 0.57207805 0 0 37.587616 0.006854858 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:58 | [0 0 516.6085 499.0255 0.57379645 0 0 37.623352 0.006854858 0 17 499.5404 0 0 0 0 0 0 0 0] 
 2016-03-26 16:53:59 | [0 0 516.6085 499.0255 0.5729696 0 0 37.609955 0.006854858 0 17 499.5404 0 0 0 0 0 0 0 0] 
